V (m3),T (K),P (atm),F_EDC (kmol/h),F_NH3 (kmol/h),F_EDA (kmol/h),F_HCl (kmol/h),F_VC (kmol/h),F_NH4Cl (kmol/h),X
382.721199999997,9.767091532131483,0.0,0.0,1326.5334097606963,2653.0668195213925,0.38699999999999996,0.38699999999999996,382.7094267498411,1.0
382.721199999997,9.759157041460316,0.0,0.0,1326.5334097606963,2653.0668195213925,0.38699999999999996,0.38699999999999996,382.70931015493977,1.0
382.721199999997,9.75122899653014,0.0,0.0,1326.5334097606963,2653.0668195213925,0.38699999999999996,0.38699999999999996,382.70920495027684,1.0
382.721199999997,9.743307392104624,0.0,0.0,1326.5334097606963,2653.0668195213925,0.38699999999999996,0.38699999999999996,382.709110023132,1.0
382.721199999997,9.7353922229517,0.0,0.0,1326.5334097606963,2653.0668195213925,0.38699999999999996,0.38699999999999996,382.7090243694871,1.0
382.721199999997,9.727483483843544,0.0,0.0,1326.5334097606963,2653.0668195213925,0.38699999999999996,0.38699999999999996,382.7089470834074,1.0
382.721199999997,9.71958116955658,0.0,0.0,1326.5334097606963,2653.0668195213925,0.38699999999999996,0.38699999999999996,382.70887734745963,1.0
382.721199999997,9.71168527487148,0.0,0.0,1326.5334097606963,2653.0668195213925,0.38699999999999996,0.38699999999999996,382.70881442406596,1.0
382.721199999997,9.70379579457315,0.0,0.0,1326.5334097606963,2653.0668195213925,0.38699999999999996,0.38699999999999996,382.70875764770307,1.0
382.721199999997,9.695912723450737,0.0,0.0,1326.5334097606963,2653.0668195213925,0.38699999999999996,0.38699999999999996,382.7087064178634,1.0
382.721199999997,9.688036056297618,0.0,0.0,1326.5334097606963,2653.0668195213925,0.38699999999999996,0.38699999999999996,382.708660192703,1.0
382.721199999997,9.680165787911404,0.0,0.0,1326.5334097606963,2653.0668195213925,0.38699999999999996,0.38699999999999996,382.7086184833113,1.0
382.721199999997,9.672301913093932,0.0,0.0,1326.5334097606963,2653.0668195213925,0.38699999999999996,0.38699999999999996,382.70858084853955,1.0
382.721199999997,9.664444426651256,0.0,0.0,1326.5334097606963,2653.0668195213925,0.38699999999999996,0.38699999999999996,382.70854689033524,1.0
382.721199999997,9.656593323393654,0.0,0.0,1326.5334097606963,2653.0668195213925,0.38699999999999996,0.38699999999999996,382.7085162495321,1.0
382.721199999997,9.648748598135615,0.0,0.0,1326.5334097606963,2653.0668195213925,0.38699999999999996,0.38699999999999996,382.70848860205064,1.0
382.721199999997,9.640910245695844,0.0,0.0,1326.5334097606963,2653.0668195213925,0.38699999999999996,0.38699999999999996,382.7084636554713,1.0
382.721199999997,9.633078260897262,0.0,0.0,1326.5334097606963,2653.0668195213925,0.38699999999999996,0.38699999999999996,382.708441145941,1.0
382.721199999997,9.62525263856699,0.0,0.0,1326.5334097606963,2653.0668195213925,0.38699999999999996,0.38699999999999996,382.7084208353825,1.0
382.721199999997,9.617433373536343,0.0,0.0,1326.5334097606963,2653.0668195213925,0.38699999999999996,0.38699999999999996,382.7084025089769,1.0
382.721199999997,9.609620460640851,0.0,0.0,1326.5334097606963,2653.0668195213925,0.38699999999999996,0.38699999999999996,382.7083859728909,1.0
382.721199999997,9.601813894720225,0.0,0.0,1326.5334097606963,2653.0668195213925,0.38699999999999996,0.38699999999999996,382.70837105222677,1.0
382.721199999997,9.594013670618375,0.0,0.0,1326.5334097606963,2653.0668195213925,0.38699999999999996,0.38699999999999996,382.70835758917286,1.0
382.721199999997,9.586219783183399,0.0,0.0,1326.5334097606963,2653.0668195213925,0.38699999999999996,0.38699999999999996,382.70834544133436,1.0
382.721199999997,9.578432227267578,0.0,0.0,1326.5334097606963,2653.0668195213925,0.38699999999999996,0.38699999999999996,382.70833448022677,1.0
382.721199999997,9.57065099772738,0.0,0.0,1326.5334097606963,2653.0668195213925,0.38699999999999996,0.38699999999999996,382.70832458991754,1.0
382.721199999997,9.56287608942345,0.0,0.0,1326.5334097606963,2653.0668195213925,0.38699999999999996,0.38699999999999996,382.70831566579955,1.0
382.721199999997,9.555107497220602,0.0,0.0,1326.5334097606963,2653.0668195213925,0.38699999999999996,0.38699999999999996,382.70830761348503,1.0
382.721199999997,9.547345215987828,0.0,0.0,1326.5334097606963,2653.0668195213925,0.38699999999999996,0.38699999999999996,382.7083003478068,1.0
382.721199999997,9.539589240598284,0.0,0.0,1326.5334097606963,2653.0668195213925,0.38699999999999996,0.38699999999999996,382.70829379191787,1.0
382.721199999997,9.531839565929292,0.0,0.0,1326.5334097606963,2653.0668195213925,0.38699999999999996,0.38699999999999996,382.7082878764783,1.0
382.721199999997,9.524096186862344,0.0,0.0,1326.5334097606963,2653.0668195213925,0.38699999999999996,0.38699999999999996,382.7082825389223,1.0
382.721199999997,9.516359098283075,0.0,0.0,1326.5334097606963,2653.0668195213925,0.38699999999999996,0.38699999999999996,382.7082777227958,1.0
382.721199999997,9.508628295081287,0.0,0.0,1326.5334097606963,2653.0668195213925,0.38699999999999996,0.38699999999999996,382.7082733771602,1.0
382.721199999997,9.500903772150924,0.0,0.0,1326.5334097606963,2653.0668195213925,0.38699999999999996,0.38699999999999996,382.70826945605273,1.0
382.721199999997,9.493185524390087,0.0,0.0,1326.5334097606963,2653.0668195213925,0.38699999999999996,0.38699999999999996,382.70826591800113,1.0
382.721199999997,9.485473546701018,0.0,0.0,1326.5334097606963,2653.0668195213925,0.38699999999999996,0.38699999999999996,382.70826272558423,1.0
382.721199999997,9.477767833990097,0.0,0.0,1326.5334097606963,2653.0668195213925,0.38699999999999996,0.38699999999999996,382.70825984503676,1.0
382.721199999997,9.470068381167845,0.0,0.0,1326.5334097606963,2653.0668195213925,0.38699999999999996,0.38699999999999996,382.70825724589207,1.0
382.721199999997,9.462375183148923,0.0,0.0,1326.5334097606963,2653.0668195213925,0.38699999999999996,0.38699999999999996,382.7082549006597,1.0
382.721199999997,9.45468823485211,0.0,0.0,1326.5334097606963,2653.0668195213925,0.38699999999999996,0.38699999999999996,382.7082527845347,1.0
382.721199999997,9.447007531200319,0.0,0.0,1326.5334097606963,2653.0668195213925,0.38699999999999996,0.38699999999999996,382.7082508751354,1.0
382.721199999997,9.439333067120593,0.0,0.0,1326.5334097606963,2653.0668195213925,0.38699999999999996,0.38699999999999996,382.70824915226666,1.0
382.721199999997,9.431664837544094,0.0,0.0,1326.5334097606963,2653.0668195213925,0.38699999999999996,0.38699999999999996,382.70824759770625,1.0
382.721199999997,9.424002837406093,0.0,0.0,1326.5334097606963,2653.0668195213925,0.38699999999999996,0.38699999999999996,382.7082461950119,1.0
382.721199999997,9.41634706164599,0.0,0.0,1326.5334097606963,2653.0668195213925,0.38699999999999996,0.38699999999999996,382.70824492934776,1.0
382.721199999997,9.408697505207284,0.0,0.0,1326.5334097606963,2653.0668195213925,0.38699999999999996,0.38699999999999996,382.7082437873273,1.0
382.721199999997,9.401054163037582,0.0,0.0,1326.5334097606963,2653.0668195213925,0.38699999999999996,0.38699999999999996,382.7082427568716,1.0
382.721199999997,9.393417030088601,0.0,0.0,1326.5334097606963,2653.0668195213925,0.38699999999999996,0.38699999999999996,382.7082418270818,1.0
382.721199999997,9.385786101316162,0.0,0.0,1326.5334097606963,2653.0668195213925,0.38699999999999996,0.38699999999999996,382.7082409881238,1.0
382.721199999997,9.378161371680177,0.0,0.0,1326.5334097606963,2653.0668195213925,0.38699999999999996,0.38699999999999996,382.7082402311243,1.0
382.721199999997,9.370542836144653,0.0,0.0,1326.5334097606963,2653.0668195213925,0.38699999999999996,0.38699999999999996,382.7082395480766,1.0
382.721199999997,9.36293048967769,0.0,0.0,1326.5334097606963,2653.0668195213925,0.38699999999999996,0.38699999999999996,382.7082389317564,1.0
382.721199999997,9.355324327251475,0.0,0.0,1326.5334097606963,2653.0668195213925,0.38699999999999996,0.38699999999999996,382.70823837564484,1.0
382.721199999997,9.34772434384228,0.0,0.0,1326.5334097606963,2653.0668195213925,0.38699999999999996,0.38699999999999996,382.7082378738602,1.0
382.721199999997,9.340130534430457,0.0,0.0,1326.5334097606963,2653.0668195213925,0.38699999999999996,0.38699999999999996,382.7082374210953,1.0
382.721199999997,9.33254289400044,0.0,0.0,1326.5334097606963,2653.0668195213925,0.38699999999999996,0.38699999999999996,382.70823701256137,1.0
382.721199999997,9.324961417540733,0.0,0.0,1326.5334097606963,2653.0668195213925,0.38699999999999996,0.38699999999999996,382.7082366439375,1.0
382.721199999997,9.317386100043906,0.0,0.0,1326.5334097606963,2653.0668195213925,0.38699999999999996,0.38699999999999996,382.7082363113246,1.0
382.721199999997,9.309816936506612,0.0,0.0,1326.5334097606963,2653.0668195213925,0.38699999999999996,0.38699999999999996,382.7082360112048,1.0
382.721199999997,9.302253921929557,0.0,0.0,1326.5334097606963,2653.0668195213925,0.38699999999999996,0.38699999999999996,382.70823574040395,1.0
382.721199999997,9.294697051317511,0.0,0.0,1326.5334097606963,2653.0668195213925,0.38699999999999996,0.38699999999999996,382.7082354960579,1.0
382.721199999997,9.287146319679298,0.0,0.0,1326.5334097606963,2653.0668195213925,0.38699999999999996,0.38699999999999996,382.7082352755822,1.0
382.721199999997,9.279601722027808,0.0,0.0,1326.5334097606963,2653.0668195213925,0.38699999999999996,0.38699999999999996,382.70823507664494,1.0
382.721199999997,9.272063253379969,0.0,0.0,1326.5334097606963,2653.0668195213925,0.38699999999999996,0.38699999999999996,382.708234897142,1.0
382.721199999997,9.264530908756765,0.0,0.0,1326.5334097606963,2653.0668195213925,0.38699999999999996,0.38699999999999996,382.70823473517487,1.0
382.721199999997,9.257004683183224,0.0,0.0,1326.5334097606963,2653.0668195213925,0.38699999999999996,0.38699999999999996,382.7082345890303,1.0
382.721199999997,9.249484571688415,0.0,0.0,1326.5334097606963,2653.0668195213925,0.38699999999999996,0.38699999999999996,382.7082344571628,1.0
382.721199999997,9.241970569305442,0.0,0.0,1326.5334097606963,2653.0668195213925,0.38699999999999996,0.38699999999999996,382.70823433817753,1.0
382.721199999997,9.234462671071451,0.0,0.0,1326.5334097606963,2653.0668195213925,0.38699999999999996,0.38699999999999996,382.708234230816,1.0
382.721199999997,9.226960872027613,0.0,0.0,1326.5334097606963,2653.0668195213925,0.38699999999999996,0.38699999999999996,382.7082341339426,1.0
382.721199999997,9.219465167219129,0.0,0.0,1326.5334097606963,2653.0668195213925,0.38699999999999996,0.38699999999999996,382.7082340465329,1.0
382.721199999997,9.219465167219129,0.0,0.0,1326.5334097606963,2653.0668195213925,0.38699999999999996,0.38699999999999996,382.7082340465329,1.0
